96
200	183
300	200
250	150
200	140
200	135
300	200
250	150
200	145
200	130
300	200
250	155
200	160
200	125
300	200
250	150
200	145
200	130
300	200
250	179
200	140
200	135
300	200
250	150
200	140
200	135
300	200
250	150
200	145
200	130
300	200
250	155
200	140
200	135
300	200
250	150
200	145
200	183
300	200
250	150
200	140
200	135
300	200
250	150
200	145
200	130
300	200
250	155
200	140
200	135
300	200
250	150
200	145
200	142
300	192
250	179
200	156
200	135
300	200
250	150
200	140
200	139
300	200
250	150
200	149
200	142
300	192
250	159
200	140
200	135
300	200
250	150
200	145
200	183
300	200
250	150
200	140
200	135
300	200
250	150
200	145
200	130
300	200
250	155
200	140
200	135
300	206
250	150
200	145
200	130
300	200
250	179
200	140
200	135
300	200
250	150
0	0
